place,movie_title,rating,year,star_cast
117,LA Confidential,8.22125207892416,1997,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe"
118,Snatch,8.218556958897434,2000,"Guy Ritchie (dir.), Jason Statham, Brad Pitt"
119,Die Hard,8.218131370036488,1988,"John McTiernan (dir.), Bruce Willis, Alan Rickman"
120,Ladri di biciclette,8.217730115436234,1948,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola"
121,Indiana Jones and the Last Crusade,8.217045893580972,1989,"Steven Spielberg (dir.), Harrison Ford, Sean Connery"
122,Taare Zameen Par,8.211730427553837,2007,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan"
123,1917,8.211718255884925,2019,"Sam Mendes (dir.), Dean-Charles Chapman, George MacKay"
124,Der Untergang,8.203805787905258,2004,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara"
125,Per qualche dollaro in più,8.201266495252934,1965,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef"
126,Dangal,8.199686951593185,2016,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar"
127,Batman Begins,8.199578753941665,2005,"Christopher Nolan (dir.), Christian Bale, Michael Caine"
128,The Kid,8.193148578701024,1921,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance"
129,Some Like It Hot,8.191512362957935,1959,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis"
130,The Father,8.181315122420846,2020,"Florian Zeller (dir.), Anthony Hopkins, Olivia Colman"
131,All About Eve,8.180520402043168,1950,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter"
132,Green Book,8.176185049735658,2018,"Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali"
133,The Wolf of Wall Street,8.17487877159342,2013,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill"
134,Judgment at Nuremberg,8.170195278306057,1961,"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster"
135,Ran,8.164968944994767,1985,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao"
136,Casino,8.163903234915296,1995,"Martin Scorsese (dir.), Robert De Niro, Sharon Stone"
137,Pan's Labyrinth,8.162298157886081,2006,"Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil"
138,Unforgiven,8.160833762294041,1992,"Clint Eastwood (dir.), Clint Eastwood, Gene Hackman"
139,There Will Be Blood,8.1576279900889,2007,"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano"
140,The Truman Show,8.156522477835544,1998,"Peter Weir (dir.), Jim Carrey, Ed Harris"
141,The Sixth Sense,8.153669807631356,1999,"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment"
142,Spider-Man: No Way Home,8.152739980848194,2021,"Jon Watts (dir.), Tom Holland, Zendaya"
143,A Beautiful Mind,8.151867555907563,2001,"Ron Howard (dir.), Russell Crowe, Ed Harris"
144,Monty Python and the Holy Grail,8.149360797748175,1975,"Terry Gilliam (dir.), Graham Chapman, John Cleese"
145,Yôjinbô,8.149068647551246,1961,"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno"
146,Shutter Island,8.148543302582542,2010,"Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer"
147,The Treasure of the Sierra Madre,8.147872751857427,1948,"John Huston (dir.), Humphrey Bogart, Walter Huston"
148,Jurassic Park,8.1460654492281,1993,"Steven Spielberg (dir.), Sam Neill, Laura Dern"
149,Rashômon,8.14163044110105,1950,"Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô"
150,The Great Escape,8.141359905399678,1963,"John Sturges (dir.), Steve McQueen, James Garner"
151,Kill Bill: Vol 1,8.137948202077927,2003,"Quentin Tarantino (dir.), Uma Thurman, David Carradine"
152,No Country for Old Men,8.137366134589918,2007,"Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem"
153,Finding Nemo,8.131574042805124,2003,"Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres"
154,The Thing,8.13018976118744,1982,"John Carpenter (dir.), Kurt Russell, Wilford Brimley"
155,The Elephant Man,8.128657287045229,1980,"David Lynch (dir.), Anthony Hopkins, John Hurt"
156,Chinatown,8.127605416910464,1974,"Roman Polanski (dir.), Jack Nicholson, Faye Dunaway"
157,Raging Bull,8.12637259891083,1980,"Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty"
158,V for Vendetta,8.124410596668433,2005,"James McTeigue (dir.), Hugo Weaving, Natalie Portman"
159,Gone with the Wind,8.124147728482528,1939,"Victor Fleming (dir.), Clark Gable, Vivien Leigh"
160,Inside Out,8.122571947524193,2015,"Pete Docter (dir.), Amy Poehler, Bill Hader"
161,"Lock, Stock and Two Smoking Barrels",8.121911624130036,1998,"Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher"
162,Dial M for Murder,8.119825902516505,1954,"Alfred Hitchcock (dir.), Ray Milland, Grace Kelly"
163,El secreto de sus ojos,8.117629898155075,2009,"Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil"
164,Hauru no ugoku shiro,8.116033623536689,2004,"Hayao Miyazaki (dir.), Chieko Baishô, Takuya Kimura"
165,The Bridge on the River Kwai,8.112291816204904,1957,"David Lean (dir.), William Holden, Alec Guinness"
166,"Three Billboards Outside Ebbing, Missouri",8.111674525453044,2017,"Martin McDonagh (dir.), Frances McDormand, Woody Harrelson"
167,Trainspotting,8.111111510241626,1996,"Danny Boyle (dir.), Ewan McGregor, Ewen Bremner"
168,Warrior,8.103517402750871,2011,"Gavin O'Connor (dir.), Tom Hardy, Nick Nolte"
169,Gran Torino,8.102525037709185,2008,"Clint Eastwood (dir.), Clint Eastwood, Bee Vang"
170,Fargo,8.102338646056461,1996,"Joel Coen (dir.), William H. Macy, Frances McDormand"
171,Prisoners,8.100542455069633,2013,"Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal"
172,Tonari no Totoro,8.093969260752864,1988,"Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka"
173,Million Dollar Baby,8.089279597382824,2004,"Clint Eastwood (dir.), Hilary Swank, Clint Eastwood"
174,Catch Me If You Can,8.088886783054338,2002,"Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks"
175,Bacheha-Ye aseman,8.085986487996422,1997,"Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian"
176,The Gold Rush,8.085830635841813,1925,"Charles Chaplin (dir.), Charles Chaplin, Mack Swain"
177,Blade Runner,8.084991106578947,1982,"Ridley Scott (dir.), Harrison Ford, Rutger Hauer"
178,On the Waterfront,8.081958382920208,1954,"Elia Kazan (dir.), Marlon Brando, Karl Malden"
179,Before Sunrise,8.080455704028568,1995,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy"
180,12 Years a Slave,8.080023250159465,2013,"Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams"
181,Harry Potter and the Deathly Hallows: Part 2,8.078455862182608,2011,"David Yates (dir.), Daniel Radcliffe, Emma Watson"
182,Ben-Hur,8.078006606014661,1959,"William Wyler (dir.), Charlton Heston, Jack Hawkins"
183,Smultronstället,8.077853886263421,1957,"Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson"
184,The Third Man,8.077550549423679,1949,"Carol Reed (dir.), Orson Welles, Joseph Cotten"
185,Gone Girl,8.077083041472378,2014,"David Fincher (dir.), Ben Affleck, Rosamund Pike"
186,The General,8.076765116723085,1926,"Clyde Bruckman (dir.), Buster Keaton, Marion Mack"
187,The Grand Budapest Hotel,8.074627471360765,2014,"Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham"
188,The Deer Hunter,8.0743920746204,1978,"Michael Cimino (dir.), Robert De Niro, Christopher Walken"
189,In the Name of the Father,8.074019138541791,1993,"Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite"
190,Barry Lyndon,8.072078725747128,1975,"Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson"
191,Le salaire de la peur,8.071318328329177,1953,"Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel"
192,Hacksaw Ridge,8.069170395441017,2016,"Mel Gibson (dir.), Andrew Garfield, Sam Worthington"
193,Klaus,8.069082120994963,2019,"Sergio Pablos (dir.), Jason Schwartzman, J.K. Simmons"
194,Mr Smith Goes to Washington,8.068805554259976,1939,"Frank Capra (dir.), James Stewart, Jean Arthur"
195,Sherlock Jr,8.068579964102998,1924,"Buster Keaton (dir.), Buster Keaton, Kathryn McGuire"
196,Salinui chueok,8.068111080738069,2003,"Bong Joon Ho (dir.), Song Kang-ho, Kim Sang-kyung"
197,Relatos salvajes,8.067022002428766,2014,"Damián Szifron (dir.), Darío Grandinetti, María Marull"
198,Det sjunde inseglet,8.064571675589324,1957,"Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand"
199,Room,8.064013865091397,2015,"Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay"
200,Mad Max: Fury Road,8.06317379028243,2015,"George Miller (dir.), Tom Hardy, Charlize Theron"
201,Mary and Max,8.06182365674446,2009,"Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman"
202,How to Train Your Dragon,8.061680167820235,2010,"Dean DeBlois (dir.), Jay Baruchel, Gerard Butler"
203,The Big Lebowski,8.06036097530664,1998,"Joel Coen (dir.), Jeff Bridges, John Goodman"
204,"Monsters, Inc",8.059847219176396,2001,"Pete Docter (dir.), Billy Crystal, John Goodman"
205,Jaws,8.059643475264233,1975,"Steven Spielberg (dir.), Roy Scheider, Robert Shaw"
206,Dead Poets Society,8.055688641367269,1989,"Peter Weir (dir.), Robin Williams, Robert Sean Leonard"
207,La passion de Jeanne d'Arc,8.055672076874773,1928,"Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain"
208,Tôkyô monogatari,8.053871021707721,1953,"Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama"
209,Hotel Rwanda,8.051676254553485,2004,"Terry George (dir.), Don Cheadle, Sophie Okonedo"
210,Ford v Ferrari,8.047468605300093,2019,"James Mangold (dir.), Matt Damon, Christian Bale"
211,Rocky,8.046515541559849,1976,"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire"
212,Platoon,8.045921541064066,1986,"Oliver Stone (dir.), Charlie Sheen, Tom Berenger"
213,Stand by Me,8.040298408705441,1986,"Rob Reiner (dir.), Wil Wheaton, River Phoenix"
214,The Terminator,8.040202064984772,1984,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton"
215,Spotlight,8.039996357721447,2015,"Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton"
216,Pather Panchali,8.039360959568528,1955,"Satyajit Ray (dir.), Kanu Bannerjee, Karuna Bannerjee"
217,Logan,8.038353154254342,2017,"James Mangold (dir.), Hugh Jackman, Patrick Stewart"
218,Rush,8.037688738854447,2013,"Ron Howard (dir.), Daniel Brühl, Chris Hemsworth"
219,Ratatouille,8.037686988393029,2007,"Brad Bird (dir.), Brad Garrett, Lou Romano"
220,Network,8.036010906278559,1976,"Sidney Lumet (dir.), Faye Dunaway, William Holden"
221,Into the Wild,8.03442339786197,2007,"Sean Penn (dir.), Emile Hirsch, Vince Vaughn"
222,The Wizard of Oz,8.03233346512068,1939,"Victor Fleming (dir.), Judy Garland, Frank Morgan"
223,Before Sunset,8.03118138967467,2004,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy"
224,Groundhog Day,8.029123708267399,1993,"Harold Ramis (dir.), Bill Murray, Andie MacDowell"
225,Everything Everywhere All at Once,8.028584681315483,2022,"Dan Kwan (dir.), Michelle Yeoh, Stephanie Hsu"
226,The Exorcist,8.027723312949828,1973,"William Friedkin (dir.), Ellen Burstyn, Max von Sydow"
227,Jai Bhim,8.026495698227558,2021,"T.J. Gnanavel (dir.), Suriya, Lijo Mol Jose"
228,The Best Years of Our Lives,8.025630644916275,1946,"William Wyler (dir.), Myrna Loy, Dana Andrews"
229,The Incredibles,8.025317475387242,2004,"Brad Bird (dir.), Craig T. Nelson, Samuel L. Jackson"
230,To Be or Not to Be,8.024891648939093,1942,"Ernst Lubitsch (dir.), Carole Lombard, Jack Benny"
231,La battaglia di Algeri,8.023898978498877,1966,"Gillo Pontecorvo (dir.), Brahim Hadjadj, Jean Martin"
232,Hachi: A Dog's Tale,8.022417499577653,2009,"Lasse Hallström (dir.), Richard Gere, Joan Allen"
233,The Grapes of Wrath,8.021491146297716,1940,"John Ford (dir.), Henry Fonda, Jane Darwell"
234,Pirates of the Caribbean: The Curse of the Black Pearl,8.021320329075069,2003,"Gore Verbinski (dir.), Johnny Depp, Geoffrey Rush"
235,Amores perros,8.021156597765813,2000,"Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal"
236,Babam ve Oglum,8.021022498184854,2005,"Çagan Irmak (dir.), Çetin Tekindor, Fikret Kuskan"
237,Rebecca,8.02088000010522,1940,"Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine"
238,La haine,8.020654453876816,1995,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé"
239,Cool Hand Luke,8.019713176551285,1967,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy"
240,Les quatre cents coups,8.01609544738252,1959,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy"
241,Ah-ga-ssi,8.01376917989501,2016,"Park Chan-wook (dir.), Kim Min-hee, Ha Jung-woo"
242,It Happened One Night,8.01315737981553,1934,"Frank Capra (dir.), Clark Gable, Claudette Colbert"
243,Persona,8.013083421937372,1966,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann"
244,The Sound of Music,8.012859197251872,1965,"Robert Wise (dir.), Julie Andrews, Christopher Plummer"
245,Life of Brian,8.012206628801312,1979,"Terry Jones (dir.), Graham Chapman, John Cleese"
246,Dersu Uzala,8.008723018178934,1975,"Akira Kurosawa (dir.), Maksim Munzuk, Yuriy Solomin"
247,Aladdin,8.005154474689592,1992,"Ron Clements (dir.), Scott Weinger, Robin Williams"
248,The Help,8.004987005065715,2011,"Tate Taylor (dir.), Viola Davis, Emma Stone"
249,Gandhi,8.004705939759466,1982,"Richard Attenborough (dir.), Ben Kingsley, John Gielgud"
250,The Iron Giant,8.004127915549752,1999,"Brad Bird (dir.), Eli Marienthal, Harry Connick Jr."
